review,label
"""I have been on this birth control for one cycle. After reading some of the reviews on this type and similar birth controls I was a bit apprehensive to start. Im giving this birth control a 9 out of 10 as I have not been on it long enough for a 10. So far I love this birth control! My side effects have been so minimal its like Im not even on birth control! I have experienced mild headaches here and there and some nausea but other than that ive been feeling great! I got my period on cue on the third day of the inactive pills and I had no idea it was coming because I had zero pms! My period was very light and I barely had any cramping! I had unprotected sex the first month and obviously didn't get pregnant so I'm very pleased! Highly recommend""",0
"""I was on this pill for almost two years. It does work as far as not getting pregnant however my experience at first was it didn't make a huge difference then 6 or 7 months into it my sex drive went down, along with being very very dry, my moodiness increased drastically. I would cry one second and then get angry with my husband over anything and everything. My skin has gotten a lot worse, I broke out in places I never had in the last week. So now I am on Yaz.""",1
"""I absolutely love this product and recommend to everyone. I know everyone's body is different, so it is not for everyone, but it is not the medicines fault. I have NO negative symptoms since I started this. I used to have heavy periods, terrible cramps and headaches, and my periods were super long. I now have super consistent 3-4 LIGHT periods, no cramps or headaches. I have been on this pill for over a year now and have no desire to switch.""",0
"""I'm absolutely DONE taking this horrible birth control! I've  been taking Aubra for a month and a half... I'm moody, irritable, depressed, hungry, bitchy... vaginal discharge has changed  (gross), my urine smells, my acne has gotten so out of hand and it's STUBBORN. Cystic acne all around my mouth, jawline, Chin and neck. After doing some research online, I discovered I'm not the only one. Birth control is different for everyone but this is going in the trash... I will not be taking this any longer. It also kills your sex drive... as for the difference in bleeding, I wouldn't know. I started this pill on day 1 of menstrual cycle last month and haven't had a period yet... have had plenty of headaches though! """,1
"""I started on the oral contraceptive pill but got horrible nausea and vomiting, so this was my next option. NuvaRing has been fantastic, it has a fraction of the hormones and I get no nausea. Insertion and removing is really not a hassle, and you cannot feel it at all. For me, it beats the pill and vomiting, along with all the other symptoms. I haven't had any noticeable mood issues or migraines. I would recommend it to anyone!""",0
"""About two months ago I had to switch from LoLestrin Fe to microgestin due to my insurance and pharmacy. Since starting microgestin I've noticed insane bloating and nausea and weird discharge. While on lolestrin, my periods consisted of spotting and average side effects, nothing too serious, but after one month of micro I got my period and it was heavy and the cramping was so painful I had to leave my class. I've also noticed I've developed bad depression and my mood swings are very intense. My anxiety is bad and my sex drive is very low if not nonexistent anymore. It helped with my acne but I'm a lot more paranoid about getting pregnant than I was on lolestrin. I'm going to be talking to my doctor about possibly getting the shot.""",1
"""I've had this birth control for a year now and at first things were going good, I only had a period once and never had one since but now I have super bad anxiety, I would constantly think I was pregnant, would waste my money on pregnancy test even though I am NOT pregnant and my depression was very bad and honestly , I really don't think it's worth it at all. I'm getting it removed tomorrow and I most likely am going to have to be in therapy.""",1
"""I started off by taking regular Ortho Tri Cyclen, which helped some with my acne, but I also became severely depressed, so I went off it.  After a year and a half of not taking birth control at all, I began taking Ortho Tri Cyclen Lo for acne, and after 4 months my skin is MUCH clearer.  If I do get pimples, they are much smaller and more shallow than before, and go away quicker.  I am pleased!""",0
"""honestly the measurement hurt more than the actual placement! And I'm so happy I went through with it!!! I wish I didn't read all of these reviews before I did it. Pain is subjective and its not that bad. They explained the procedure to me and I felt more comfortable. I've never had kids. Its just like getting a regular pap. I think it is the best option of birth control. That being said I will definitely recommend getting this! Do expect cramping for a day or two. I didnt cramp until about three hours after having it done. I took ibuprophen and slept with a heating bad. Very mild cramping today but I am happy with my choice :)""",0
"""I was started on Gildess 1/20 but then was switched to Blisovi as Gildess was recalled. I always had the clearest skin and now that I've been taking Blisovi I'll have random break outs and I've gained some weight as well. I do not recommend. I can't wait to talk to my gynecologist to switch ASAP.""",1
"""I had paragard for a year and a half and had cramping the whole time with terrible long heavy periods.  The last couple months I had it I was in so much pain I could hardly walk. Went to my doc and she said nothing seemed wrong.  Then the next day I went to the ER and had it removed. It had slipped a little and was causing a lot of discomfort. I will never get an IUD again. I'm lucky I didn't need surgery like some women""",1
"""I just started taking this birth control about 12 days ago when I started my period, and I'm still bleeding as if I'm still on my period. The flow is light however the length of my average period is 2 weeks when I wasn't on birth control. So maybe the medication is altering my system %u2026I do feel nauseous and I crave like crazy. I do feel a little depressed because my period isn't gone yet but overall it 
seems to be a good birth control so far. """,0
"""I read so many bad experiences and horror stories about this pill, I was terrified. I am now on my second week of Aviane and have no symptoms.""",0
"""This is the third day I've had skyla and so far my experience has been excellent. I'd suggest taking ibuprofen all throughout the day and put a heating pad on your stomach (what i did). The procedure was uncomfortable and painful (i cried) but so far, extremely worth it. The day after I got it the bleeding significantly reduced, and today it's hardly bleeding. First day was the worst but definitely doable. As far as being emotional. The first day I was very irritable but I'm assuming it was because I was hurting and hungry all day. Other than that I've been great!""",0
"""I went in to have my Skyla placed yesterday morning. After reading all of these reviews I was hyperventilating and crying on my way there, bc I did not want to experience ""the worst pain of my life"". However, it was a complete waste of tears and energy. Before the procedure, I started doing heavy breathing, similar to pregnancy breaths, bc I was so nervous and I can tell you I felt NOTHING. There was a little bit of pressure, but nothing compared to what I've read on here. Probably a 2/10. It was over in 30 seconds, and as soon as she was done, the pressure vanished. I was shocked. I went to work from 5:45-11:30, & I managed with mild cramping.I cant speak for long term yet, but don't let other women scare you out of this, its very worth it!""",0
"""BC from below. Rapid weight gain, swelling and bad cycle. Don't recommend""",1
"""Switched from my old BC to yaz and immediately felt a difference the first few days I was SO  emotional. VERY significantly so. By the end of the first week I was full on depressed and it continued on to the second week. Everything triggered me. :(  but I like the sticker on the top with the days.""",1
"""I have had my Paragard for one year, and it's been great! Insertion was not pleasant, but it only lasts a moment and now it's nothing but a distant memory. My periods were heavier and my cramps more severe for the first three months, but after that they returned to nearly the same as before. So many people wrote about their terrible experiences that reading up almost stopped me from doing it, and now I'm so glad I got it anyway. Just remember that those who had a negative experience are more likely to post about it, so there's a bias! It's also totally possible that it will go just fine and be a fantastic BC method. Don't be too afraid to try it and see if it's right for you, you can always take it out if it's not.""",0
"""I love Jolessa. I have no periods for three months and little to no side effects. I was on Depo for eleven years and due to insurance changes had to change to the pill.""",0
"""I had the implant placed a little over 1 month ago. After about a week I started breaking out with acne. I feel extremely irritable, emotional, and have extreme insomnia. I keep getting the chills but it's been 80 degrees outside for weeks. I'm a fit person, but I've started having unexplained joint pain. I'm so exhausted.. I was really hoping this birth control method was going to be the best choice for me. I never remembered to take the pill, I had frequent infections with the IUD because my body didn't like the strings/foreign body in there. I'm hoping these side effects will gradually lessen or go away because it's really effecting my quality of life. I'm going to try to give it a few more months..""",1
"""Ive been on this pill for 9 months now and I love it! I have severe migraines so it is hard to find a birth control that doesnt make them 10x worse. My migraines have almost disappeared since I started this pill! Also, I had one period upon starting the pills and I havent had one since. In the beginning of my trial, I did go through some changes. I was moody all the time, my breasts stayed sore to the extent that I could hardly move around. Other than that, I had no issues. I havent had any weight changes, acne changes or anything like that. My body returned to better than normal after maybe three months. Mood changes disappeared, no period, no cramps, no soreness. Overall I am satisfied!""",0
"""I've been on this birth control for a year and I have to say that it's very practical for my body. I used to get brutal cramps and long periods. No matter what type of birth control I had debilitating cramps. Lolo has caused my cramps to stop and my period is consistent and lasts 2 days. Only downside is I did get some acne, but the acne may be just due to something else since I've dealt with breakouts prior to trying lolo. Also my boobs grew a lot which I'm happy about. This medication is not for everyone, if you experience adverse effects stop taking it immediately as it does not agree with every woman.""",0
"""I have been using this method of Birth Control for over ten years now, I am hesitant to change to another form. I have not had a period since starting Depo and never had a pregnancy scare. I have gained weight while on the shot but it could be just my eating habits and lack of exercise! I would recommend this form of birth control for anyone who cannot remember to take a pill or who does not want to worry about getting pregnant. Once every three months is easy to do and I have never been happier with any form of birth control.""",0
"""I got nexplanon February 2015 at first my period was every 2 month which I loved. They are normal now. December 2015 I started gaining weight which I thought was just holiday so January I started exercising and lost 15 of the 30 pounds since I gained 10 back and and can't lose anything I diet exercise when ever my boyfriends not looking (I don't feel comfortable in front of him) and he's noticed the weight we got in a fight and he actually slipped up and called me fat. And said all I do is sit on my ass that's why I gained it. But I also got so depressed and cried over everything panic attacks every day and thought of self harm. The depression is gone now for the weight. I like it would give 10 stars except the depression and weight.""",0
"""I just got paragard not too long ago. And it was actually not as bad as I thought it would be. There was not excruciating pain at all. Just cramping. Anyone wanting to get it should most definitely do so. It's not as bad as some may say, but everyone reacts to things differently.""",0
"""I am 21 years old and have been on Depo-Provera for almost two years while in a four year committed relationship. My doctor recommended Depo-Provera for me because I suffer from chronic migraines so any birth control with a high level of estrogen would most definitely make my migraines worse. So far, I have to say I am pleased with my experience while on the depo shot. The side effects I have experienced have thankfully been able to be fixed/altered. Such as slight weight gain which I help to control with diet and exercise. Loss of sex drive which my longtime boyfriend is more than happy to help with. And I tend to start spotting around the time that my next shot is due. Once I receive the depo shot, within hours the spotting stops.""",0
"""I had terrible experiences on Alesse & Ortho Tri Cyclen so my doctor recommended Skyla (Jaydess in Canada) over Mirena for me because it's both smaller & releases a lower hormone amount since it lasts 3 years vs. 5 for Mirena. After reading the reviews here I was worried but wanted to try it anyway. There was a HUGE cramp after she measured my uterus & inserted the IUD, what I imagine a contraction feels like. I had lots of cramping afterwards for 2 weeks & on & off spotting for the first 3 months but that's all gone now. I'm really happy with Skyla, but every body is different.



Pros: shorter, lighter periods; no mood swings; no weight gain; no acne; no loss of sex drive

Cons: slightly worse pre-period cramps; occasional post sex cramping""",0
"""I aImost didn't go through after reading these reviews. I have had Liletta for about 2 months. I have no tolerance for pain whatsoever. I took a tramadol 2 hours before my appointment. My doctor advised that it would be painful for a short while especially since I have never been pregnant. She was very good during the insertion about letting me know when pain would occur. It was very painful for about 3-4 hours. After that, it was similar to my normal cramps for 2 days. I spotted for the first 4 days just enough for a panty liner, not even a pad, and have not had any spotting since. I have had no issues with my boyfriend and the strings or being dry ""down there"" as I have read with some others. My sex drive has increased since having it.""",0
